Domain Name,Domain Type,Agency,City,State,Is Live,SPF,DMARC
ACUS.GOV,Federal Agency,Administrative Conference of the United States,WASHINGTON,DC,TRUE,TRUE,TRUE
ACHP.GOV,Federal Agency,Advisory Council on Historic Preservation,Washington,DC,TRUE,TRUE,FALSE
PRESERVEAMERICA.GOV,Federal Agency,Advisory Council on Historic Preservation,Washington,DC,TRUE,FALSE,FALSE
ADF.GOV,Federal Agency,African Development Foundation,Washington,DC,TRUE,TRUE,FALSE
USADF.GOV,Federal Agency,African Development Foundation,Washington,DC,TRUE,TRUE,FALSE
ABMC.GOV,Federal Agency,American Battle Monuments Commission,Arlington,VA,TRUE,TRUE,FALSE
ABMCSCHOLAR.GOV,Federal Agency,American Battle Monuments Commission,Arlington,VA,FALSE,FALSE,FALSE
NATIONALMALL.GOV,Federal Agency,American Battle Monuments Commission,Arlington,VA,FALSE,FALSE,FALSE
AMTRAKOIG.GOV,Federal Agency,AMTRAK,Washington,DC,TRUE,TRUE,FALSE
ARC.GOV,Federal Agency,Appalachian Regional Commission,Washington,DC,TRUE,TRUE,FALSE
ASC.GOV,Federal Agency,Appraisal Subcommittee,Washington,DC,TRUE,TRUE,FALSE
AOC.GOV,Federal Agency,Architect of the Capitol,Washington,DC,TRUE,TRUE,FALSE
CAPITAL.GOV,Federal Agency,Architect of the Capitol,Washington,DC,FALSE,FALSE,FALSE
CAPITOL.GOV,Federal Agency,Architect of the Capitol,Washington,DC,TRUE,FALSE,FALSE
USBG.GOV,Federal Agency,Architect of the Capitol,Washington,DC,TRUE,FALSE,FALSE
USCAPITAL.GOV,Federal Agency,Architect of the Capitol,Washington,DC,TRUE,FALSE,FALSE
USCAPITOL.GOV,Federal Agency,Architect of the Capitol,Washington,DC,FALSE,FALSE,FALSE
VISITTHECAPITAL.GOV,Federal Agency,Architect of the Capitol,Washington,DC,FALSE,FALSE,FALSE
VISITTHECAPITOL.GOV,Federal Agency,Architect of the Capitol,Washington,DC,TRUE,TRUE,FALSE
AFRH.GOV,Federal Agency,Armed Forces Retirement Home,Washington,DC,FALSE,TRUE,FALSE
CIA.GOV,Federal Agency,Central Intelligence Agency,Washington,DC,TRUE,TRUE,FALSE
DF.GOV,Federal Agency,Central Intelligence Agency,WASHINGTON,DC,TRUE,FALSE,FALSE
