"Domain Name","Domain Type",Agency,City,State,"Is Live",SPF,DKIM
ACUS.GOV,"Federal Agency","Administrative Conference of the United States",WASHINGTON,DC,true,true,true
ACHP.GOV,"Federal Agency","Advisory Council on Historic Preservation",Washington,DC,true,true,false
PRESERVEAMERICA.GOV,"Federal Agency","Advisory Council on Historic Preservation",Washington,DC,true,false,false
ADF.GOV,"Federal Agency","African Development Foundation",Washington,DC,true,true,false
USADF.GOV,"Federal Agency","African Development Foundation",Washington,DC,true,true,false
ABMC.GOV,"Federal Agency","American Battle Monuments Commission",Arlington,VA,true,true,false
ABMCSCHOLAR.GOV,"Federal Agency","American Battle Monuments Commission",Arlington,VA,false,false,false
NATIONALMALL.GOV,"Federal Agency","American Battle Monuments Commission",Arlington,VA,false,false,false
AMTRAKOIG.GOV,"Federal Agency",AMTRAK,Washington,DC,true,true,false
ARC.GOV,"Federal Agency","Appalachian Regional Commission",Washington,DC,true,true,false
ASC.GOV,"Federal Agency","Appraisal Subcommittee",Washington,DC,true,true,false
AOC.GOV,"Federal Agency","Architect of the Capitol",Washington,DC,true,true,false
CAPITAL.GOV,"Federal Agency","Architect of the Capitol",Washington,DC,false,false,false
CAPITOL.GOV,"Federal Agency","Architect of the Capitol",Washington,DC,true,false,false
USBG.GOV,"Federal Agency","Architect of the Capitol",Washington,DC,true,false,false
USCAPITAL.GOV,"Federal Agency","Architect of the Capitol",Washington,DC,true,false,false
USCAPITOL.GOV,"Federal Agency","Architect of the Capitol",Washington,DC,false,false,false
VISITTHECAPITAL.GOV,"Federal Agency","Architect of the Capitol",Washington,DC,false,false,false
VISITTHECAPITOL.GOV,"Federal Agency","Architect of the Capitol",Washington,DC,true,true,false
AFRH.GOV,"Federal Agency","Armed Forces Retirement Home",Washington,DC,false,true,false
CIA.GOV,"Federal Agency","Central Intelligence Agency",Washington,DC,true,true,false
DF.GOV,"Federal Agency","Central Intelligence Agency",WASHINGTON,DC,true,false,false
IC.GOV,"Federal Agency","Central Intelligence Agency",Washington,DC,false,false,false
ISTAC.GOV,"Federal Agency","Central Intelligence Agency",Washington,DC,false,false,false
NCTC.GOV,"Federal Agency","Central Intelligence Agency",Washington,DC,true,false,false
ODCI.GOV,"Federal Agency","Central Intelligence Agency",Washington,DC,false,false,false
