"Domain Name","Domain Type",Agency,City,State,"Is Live",SPF,DKIM
ABERDEENMD.GOV,City,"Non-Federal Agency",Aberdeen,MD,true,true,false
ABERDEENWA.GOV,City,"Non-Federal Agency",Aberdeen,WA,true,false,false
ABILENETX.GOV,City,"Non-Federal Agency",Abilene,TX,true,true,true
ABINGDON-VA.GOV,City,"Non-Federal Agency",Abingdon,VA,true,true,false
ABINGTONMA.GOV,City,"Non-Federal Agency",Abington,MA,true,false,false
ABSECONNJ.GOV,City,"Non-Federal Agency",Absecon,NJ,true,true,false
ACCESSPRINCETONNJ.GOV,City,"Non-Federal Agency",Princeton,NJ,true,true,false
ACTON-MA.GOV,City,"Non-Federal Agency",Acton,MA,false,false,false
ACTONMA.GOV,City,"Non-Federal Agency",Acton,MA,false,false,false
ADAK-AK.GOV,City,"Non-Federal Agency",Adak,AK,true,true,false
ADAMN.GOV,City,"Non-Federal Agency",Ada,MN,true,true,false
ADDISONTX.GOV,City,"Non-Federal Agency",Addison,TX,true,true,false
ADELANTOCA.GOV,City,"Non-Federal Agency",Adelanto,CA,true,false,false
ADRIANMI.GOV,City,"Non-Federal Agency",Adrian,MI,true,true,false
AFTONWYOMING.GOV,City,"Non-Federal Agency",AFTON,WY,true,false,false
AKRONOHIO.GOV,City,"Non-Federal Agency",Akron,OH,false,false,false
ALAMEDACA.GOV,City,"Non-Federal Agency",Alameda,CA,true,true,false
ALAMOHEIGHTSTX.GOV,City,"Non-Federal Agency","Alamo Heights",TX,true,false,false
ALBANYNY.GOV,City,"Non-Federal Agency",Albany,NY,false,true,false
ALBEMARLENC.GOV,City,"Non-Federal Agency",Albemarle,NC,true,true,false
ALBUQUERQUE-NM.GOV,City,"Non-Federal Agency",Albuquerque,NM,false,true,false
ALEKNAGIKAK.GOV,City,"Non-Federal Agency",Aleknagik,AK,true,false,false
ALEXANDERCITYAL.GOV,City,"Non-Federal Agency","Alexander City",AL,true,true,false
ALEXANDRIANJ.GOV,City,"Non-Federal Agency",Milford,NJ,true,false,false
ALEXANDRIAVA.GOV,City,"Non-Federal Agency",Alexandria,VA,true,true,false
ALFREDME.GOV,City,"Non-Federal Agency",Alfred,ME,true,false,false
ALGONAC-MI.GOV,City,"Non-Federal Agency",Algonac,MI,true,true,false
ALGONAWA.GOV,City,"Non-Federal Agency",Algona,WA,true,false,false
ALGOODTN.GOV,City,"Non-Federal Agency",Algood,TN,false,false,false
ALIQUIPPAPA.GOV,City,"Non-Federal Agency",Aliquippa,PA,true,true,false
ALLENDALENJ.GOV,City,"Non-Federal Agency",Allendale,NJ,true,false,false
ALLENSTOWNNH.GOV,City,"Non-Federal Agency",Allenstown,NH,true,true,false
ALLENTOWNPA.GOV,City,"Non-Federal Agency",Allentown,PA,true,true,false
ALLIANCEOH.GOV,City,"Non-Federal Agency",Alliance,OH,false,false,false
ALMONTMICHIGAN.GOV,City,"Non-Federal Agency",Almont,MI,true,false,false
ALTAVISTAVA.GOV,City,"Non-Federal Agency",Altavista,VA,true,true,false
ALTON-TX.GOV,City,"Non-Federal Agency",Alton,TX,true,false,false
ALTOONAPA.GOV,City,"Non-Federal Agency",Altoona,PA,false,true,false
ALTUSOK.GOV,City,"Non-Federal Agency",Altus,OK,true,false,false
ALVIN-TX.GOV,City,"Non-Federal Agency",Alvin,TX,true,false,false
AMARILLO.GOV,City,"Non-Federal Agency",Amarillo,TX,true,true,false
AMENIANY.GOV,City,"Non-Federal Agency",Amenia,NY,true,true,false
AMERICUSGA.GOV,City,"Non-Federal Agency",Americus,GA,false,true,false
AMERYWI.GOV,City,"Non-Federal Agency",Amery,WI,true,false,false
AMHERSTMA.GOV,City,"Non-Federal Agency",Amherst,MA,true,true,false
AMHERSTNH.GOV,City,"Non-Federal Agency",Amherst,NH,true,true,false
AMHERSTVA.GOV,City,"Non-Federal Agency",Amherst,VA,true,true,false
AMITYARKANSAS.GOV,City,"Non-Federal Agency",Amity,AR,true,false,false
AMSTERDAMNY.GOV,City,"Non-Federal Agency",Amsterdam,NY,true,true,false
ANACORTESWA.GOV,City,"Non-Federal Agency",Anacortes,WA,true,false,false
ANCHORAGEAK.GOV,City,"Non-Federal Agency",Anchorage,AK,false,false,false
ANDOVER-NH.GOV,City,"Non-Federal Agency",Andover,NH,true,true,false
ANDOVERMA.GOV,City,"Non-Federal Agency",Andover,MA,true,true,false
ANDOVERMN.GOV,City,"Non-Federal Agency",Andover,MN,true,true,false
ANGELFIRENM.GOV,City,"Non-Federal Agency","Angel Fire",NM,true,false,false
ANGELSCAMP.GOV,City,"Non-Federal Agency","City of Angels Camp",CA,true,true,false
ANKENYIOWA.GOV,City,"Non-Federal Agency",Ankeny,IA,true,true,false
ANNAPOLIS.GOV,City,"Non-Federal Agency",Annapolis,MD,false,true,true
ANNAPOLISMD.GOV,City,"Non-Federal Agency",Annapolis,MD,true,true,false
ANNATEXAS.GOV,City,"Non-Federal Agency",Anna,TX,true,true,false
ANNETTATX.GOV,City,"Non-Federal Agency",Aledo,TX,false,false,false
ANNISTONAL.GOV,City,"Non-Federal Agency",Anniston,AL,true,true,false
ANTIOCHTOWNSHIPIL.GOV,City,"Non-Federal Agency","Lake Villa",IL,true,true,false
APPLEVALLEYUT.GOV,City,"Non-Federal Agency","Apple Valley",UT,true,true,false
APPOMATTOXVA.GOV,City,"Non-Federal Agency",Appomattox,VA,false,true,false
AQUINNAH-MA.GOV,City,"Non-Federal Agency",Aquinnah,MA,true,true,false
ARANSASPASSTX.GOV,City,"Non-Federal Agency","Aransas Pass",TX,true,false,false
ARCADIA-FL.GOV,City,"Non-Federal Agency",Arcadia,FL,true,false,false
ARCADIACA.GOV,City,"Non-Federal Agency",Arcadia,CA,true,true,false
ARCHBALDBOROUGHPA.GOV,City,"Non-Federal Agency",Archbald,PA,true,false,false
ARCHDALE-NC.GOV,City,"Non-Federal Agency",ARCHDALE,NC,true,true,true
ARKANSASCITYKS.GOV,City,"Non-Federal Agency","Arkansas City",KS,true,false,false
ARLINGTON-TX.GOV,City,"Non-Federal Agency",Arlington,TX,true,false,false
ARLINGTONMA.GOV,City,"Non-Federal Agency",Arlington,MA,true,true,false
ARLINGTONTX.GOV,City,"Non-Federal Agency",Arlington,TX,true,true,false
ARLINGTONWA.GOV,City,"Non-Federal Agency",Arlington,WA,true,false,false
ARTESIANM.GOV,City,"Non-Federal Agency",Artesia,NM,true,true,false
ARTHUR-IL.GOV,City,"Non-Federal Agency",Arthur,IL,true,false,false
ASHBURNHAM-MA.GOV,City,"Non-Federal Agency",Ashburnham,MA,true,true,false
ASHBYMA.GOV,City,"Non-Federal Agency",Ashby,MA,true,true,false
ASHEBORONC.GOV,City,"Non-Federal Agency",Asheboro,NC,true,false,false
ASHEVILLENC.GOV,City,"Non-Federal Agency",Asheville,NC,true,true,false
ASHGROVEMO.GOV,City,"Non-Federal Agency","Ash Grove",MO,true,true,false
ASHLANDCITYTN.GOV,City,"Non-Federal Agency","Ashland City",TN,true,true,false
ASHLANDKY.GOV,City,"Non-Federal Agency",Ashland,KY,true,false,false
